id,address,error
58ca0679cda3f02fd45a6b10,Berry Street between 3rd and 4th Streets,address returning empty results
58ca0679cda3f02fd45a6b09,"Westerfeld House, 1198 Fulton St.",address returning empty results
58ca0679cda3f02fd45a6af7,15th St. between Vermont and Kansas,address returning empty results
58ca0679cda3f02fd45a6ae9,Harriet Street between Bryant and Brannan Streets,address returning empty results
58ca0678cda3f02fd45a6ad4,McAllister between Leavenworth and Hyde,address returning empty results
58ca0678cda3f02fd45a6ad2,Turk Street between Mason & Leavenworth,address returning empty results
58ca0678cda3f02fd45a6ac9,Montgomery between Green and Broadway,address returning empty results
58ca0678cda3f02fd45a6abe,Maiden Lane between Kearny and Grant,address returning empty results
58ca0678cda3f02fd45a6ab7,Grant Avenue between Clay and Washington Streets,address returning empty results
58ca0678cda3f02fd45a6ab6,Grant between Bush and Broadway,address returning empty results
58ca0678cda3f02fd45a6ab5,Buena Vista betweeen Upper Terrace and Java St.,address returning empty results
58ca0678cda3f02fd45a6aad,Castle between Union and Green,address returning empty results
58ca0678cda3f02fd45a6aa8,Ivy Street between Laguna and Gough Streets,address returning empty results
58ca0678cda3f02fd45a6a7a,"Punjab Café, 838 24th St.",address returning empty results
58ca0678cda3f02fd45a6a6d,24th Street between Folsom and Harrison Streets,address returning empty results
58ca0678cda3f02fd45a6a67,Turk Street between Steiner and Scott Streets,address returning empty results
58ca0678cda3f02fd45a6a63,"Mario's Café, 566 Columbus",address returning empty results
58ca0678cda3f02fd45a6a5f,Clay between Stockton and Grant,address returning empty results
58ca0677cda3f02fd45a6a50,Montgomery between Pacific and Broadway,address returning empty results
58ca0677cda3f02fd45a6a4a,Heron and Berwick Alleys,address returning empty results
58ca0677cda3f02fd45a6a39,Grant Avenue between Sacramento and Washington,address returning empty results
58ca0677cda3f02fd45a6a37,"Matching Half Café, 1799 McAllister Street",address returning empty results
58ca0677cda3f02fd45a6a30,Filbert between Leavenworth and Hyde,address returning empty results
58ca0677cda3f02fd45a6a2c,Grant between Sacramento and Jack Kerouac Alley,address returning empty results
58ca0677cda3f02fd45a6a29,Fillmore between Haight and Waller,address returning empty results
58ca0677cda3f02fd45a6a25,Linden Alley between Octavia and Gough Streets,address returning empty results
58ca0677cda3f02fd45a6a22,Star's Café (55 Golden Gate Avenue at Van Ness),address returning empty results
58ca0677cda3f02fd45a6a14,Albert S. Samuels Clock (856 Market Street between Powell and Stockton),address returning empty results
